date,close,volume,open,high,low,year,weekday,change,nChange
2016-01-04,223.41,6823510.0,230.72,231.38,219.0,2016,0,-0.024197423018126194,0.4815909800252518
2016-01-11,207.85,4090843.0,214.01,214.45,203.0,2016,0,-0.0696477328678215,0.3840294514058732
2016-01-25,196.38,2695408.0,200.06,203.57,195.88,2016,0,-0.05518402694250661,0.4150765721898989
2016-02-01,196.94,5295685.0,188.76,199.52,182.75,2016,0,0.0028516142173337523,0.5396531897021712
2016-02-08,147.99,9306754.0,157.105,157.15,146.0,2016,0,-0.2485528587387021,0.0
2016-02-22,177.74,5055340.0,170.12,178.91,169.85,2016,0,0.20102709642543415,0.9650474948904856
2016-02-29,191.93,4495402.0,192.4,196.35,189.222,2016,0,0.0798357150894565,0.7049036926208675
2016-03-07,205.29,5331097.0,197.68,209.7,197.4,2016,0,0.0696087115094044,0.682950880731018
2016-03-14,215.15,4062304.0,212.65,216.72,210.64,2016,0,0.048029616639875365,0.6366301958191646
2016-03-21,238.32,5289014.0,235.34,239.88,235.0,2016,0,0.10769230769230763,0.7646993632213321
2016-03-28,230.26,3878599.0,231.61,234.81,225.0,2016,0,-0.03382007385028534,0.4609354437338468
2016-04-04,246.99,13381160.0,249.12,252.12,243.64,2016,0,0.07265699643880838,0.6894941878803763
2016-04-11,249.92,9156404.0,251.0,258.99,245.3,2016,0,0.011862828454593216,0.5589962445374648
2016-04-18,253.88,4263246.0,252.23,258.31,251.66,2016,0,0.015845070422535242,0.5675443405792626
2016-04-25,251.82,3665088.0,253.01,257.38,250.76,2016,0,-0.00811406963919963,0.5161147609667417
2016-05-02,241.8,3838958.0,241.5,243.19,234.82,2016,0,-0.039790326423635856,0.4481199762656144
2016-05-09,208.92,4772992.0,215.72,216.15,206.8,2016,0,-0.13598014888337479,0.2416433615223229
2016-05-16,208.29,2945754.0,208.15,213.15,207.92,2016,0,-0.0030155083285467905,0.5270590963710965
2016-05-23,216.22,5096751.0,219.87,222.6,215.86,2016,0,0.03807191895914354,0.6152554634911659
2016-06-06,220.68,2242634.0,218.0,220.9,215.45,2016,0,0.020627139025067097,0.5778093074049809
2016-06-13,217.87,4187833.0,219.5,225.77,217.66,2016,0,-0.01273336958491935,0.5061991857958312
2016-06-20,219.7,3549768.0,219.5,223.75,218.23,2016,0,0.008399504291549934,0.5515620334051683
2016-06-27,198.55,7211823.0,190.86,198.81,187.87,2016,0,-0.09626763768775594,0.3268883974829465
2016-07-11,224.78,5369066.0,219.96,226.78,219.51,2016,0,0.13210778141526058,0.8171084875211422
2016-07-18,226.25,3394588.0,219.64,227.09,218.3,2016,0,0.00653972773378414,0.5475699232420879
2016-07-25,230.01,4479483.0,222.27,231.39,221.3715,2016,0,0.0166187845303867,0.5692051594235343
2016-08-01,230.01,4014048.0,235.5,236.63,229.38,2016,0,0.0,0.5335320467881652
2016-08-08,226.16,2259465.0,228.0,229.6,226.09,2016,0,-0.016738402678144405,0.4976021673808103
2016-08-15,225.59,2017964.0,226.02,229.5,224.93,2016,0,-0.0025203395825963617,0.5281220026513666
2016-08-22,222.93,2061692.0,224.17,225.11,222.68,2016,0,-0.011791302805975427,0.5082213826811605
2016-08-29,215.2,3261381.0,220.15,220.4,215.0,2016,0,-0.03467456152155393,0.45910124010198894
2016-09-12,198.3,3714049.0,195.0,201.36900000000003,194.1,2016,0,-0.07853159851301104,0.36495975715603995
2016-09-19,206.34,2298318.0,207.0,209.43,205.0,2016,0,0.04054462934947046,0.6205632690113285
2016-09-26,208.99,2393373.0,206.5,211.0,206.5,2016,0,0.012842880682368933,0.5610999792267293
2016-10-03,213.7,5989342.0,212.3,215.6688,208.25,2016,0,0.02253696349107603,0.5819088480883052
2016-10-10,200.95,3311340.0,201.35,204.14,199.66,2016,0,-0.05966307908282639,0.40546204645793793
2016-10-17,193.96,4518331.0,197.05,198.39,192.0,2016,0,-0.034784772331425635,0.4588646666855036
2016-10-24,202.76,2747344.0,201.0,203.9452,200.25,2016,0,0.0453701794184367,0.6309215711376418
2016-10-31,197.73,4691320.0,202.49,202.49,195.81,2016,0,-0.024807654369698173,0.4802810856886078
2016-11-07,193.21,3857682.0,193.59,194.29,190.05,2016,0,-0.022859454812117444,0.48446300056491415
2016-11-14,181.45,6547913.0,188.0,188.25,178.19,2016,0,-0.06086641478184369,0.40287902181791596
2016-11-21,184.52,4355872.0,185.04,188.89,184.41,2016,0,0.016919261504546826,0.5698501493699382
2016-11-28,196.12,4521082.0,195.48,199.35,194.55,2016,0,0.06286581400390198,0.6684768894615168
2016-12-05,186.8,4069480.0,182.51,188.89,182.51,2016,0,-0.047521925351825374,0.4315236843459197
2016-12-12,192.43,2436428.0,192.8,194.42,191.04,2016,0,0.030139186295503186,0.5982274272169794
2016-12-19,202.73,3486937.0,202.49,204.45,199.84,2016,0,0.053525957491035614,0.6484283863491226
2017-01-09,231.28,3972716.0,228.97,231.92,228.0,2017,0,0.14082770186948165,0.8358262646224768
2017-01-23,248.92,6262097.0,245.85,250.8899,245.5,2017,0,0.0762711864406779,0.6972522406300571
2017-01-30,250.63,3798638.0,252.53,255.2899,247.1,2017,0,0.006869677004660164,0.5482781770546575
2017-02-06,257.77,3557600.0,251.0,257.82,250.63,2017,0,0.028488209711526897,0.5946835174002985
2017-02-13,280.6,7023072.0,270.74,280.7899,270.51,2017,0,0.0885673274624667,0.723646567053185
2017-02-27,246.23,11450160.0,248.17,248.36,242.01,2017,0,-0.12248752672843917,0.27060599889206655
2017-03-06,251.21,3353601.0,247.91,251.7,247.51,2017,0,0.020224992892823857,0.5769460791559379
2017-03-13,246.17,3011280.0,244.82,246.85,242.78099999999998,2017,0,-0.020062895585366905,0.4904659649877901
2017-03-20,261.92,3601616.0,260.6,264.55,258.82099999999997,2017,0,0.06398017630093036,0.6708689279205159
2017-03-27,270.22,6221361.0,260.6,270.57,259.75,2017,0,0.031689065363469805,0.6015543257914018
2017-04-03,298.52,13864850.0,286.9,299.0,284.58,2017,0,0.1047294796832209,0.7583394939364201
2017-04-10,312.39,7653623.0,309.15,313.7299,308.71,2017,0,0.04646254857295996,0.6332664001362643
2017-04-17,301.44,4128067.0,302.7,304.0,298.68,2017,0,-0.035052338423124905,0.45829032171405626
2017-04-24,308.03,5077771.0,309.22,310.55,306.0215,2017,0,0.0218617303609341,0.5804594239464468
2017-05-01,322.83,8819888.0,314.88,327.25,314.81,2017,0,0.04804726812323479,0.6366680856752435
2017-05-08,307.19,7002907.0,310.9,313.79,305.82,2017,0,-0.04844655081621902,0.4295389261780444
2017-05-15,315.88,7606854.0,318.38,320.2,312.53,2017,0,0.028288681272176822,0.5942552189000152
2017-05-22,310.35,4324305.0,312.8,314.37,306.8,2017,0,-0.017506648094212904,0.49595308737686017
2017-06-05,347.32,6769174.0,338.5,348.44,334.21,2017,0,0.1191235701627194,0.7892371814309518
2017-06-12,359.01,10507860.0,357.99,364.5,350.62,2017,0,0.03365772198548888,0.6057801528540995
2017-06-19,369.8,6433434.0,375.0,376.7,367.8,2017,0,0.030054873123311385,0.5980464444692494
2017-06-26,377.49,6596854.0,386.69,386.95,373.1,2017,0,0.020795024337479713,0.5781696822355571
