state,state_name,2020-03-14_cases,2020-03-15_cases,2020-03-16_cases,2020-03-17_cases,2020-03-18_cases,2020-03-19_cases,2020-03-20_cases,2020-03-21_cases,2020-03-22_cases,2020-03-23_cases,2020-03-24_cases,2020-03-25_cases,2020-03-26_cases,2020-03-27_cases,2020-03-28_cases,2020-03-29_cases,2020-03-30_cases,2020-03-31_cases,2020-04-01_cases,2020-04-02_cases,2020-04-03_cases,2020-04-04_cases,2020-04-05_cases,2020-04-06_cases,2020-04-07_cases,2020-04-08_cases,2020-04-09_cases,2020-04-10_cases,2020-04-11_cases,2020-04-12_cases,2020-04-13_cases,2020-04-14_cases,2020-04-15_cases,2020-04-16_cases,2020-04-17_cases,2020-04-18_cases,2020-04-19_cases,2020-04-20_cases,2020-04-21_cases,2020-04-22_cases,2020-04-23_cases,2020-04-24_cases,2020-04-25_cases,2020-04-26_cases,2020-04-27_cases,2020-04-28_cases,2020-04-29_cases,2020-04-30_cases,2020-05-01_cases,2020-05-02_cases,2020-05-03_cases,2020-05-04_cases,2020-05-05_cases,2020-05-06_cases,2020-05-07_cases,2020-05-08_cases,2020-05-09_cases,2020-05-10_cases,2020-05-11_cases,2020-05-12_cases,2020-05-13_cases,2020-05-14_cases,2020-05-15_cases,2020-05-16_cases,2020-05-17_cases,2020-05-18_cases,2020-03-14_deaths,2020-03-15_deaths,2020-03-16_deaths,2020-03-17_deaths,2020-03-18_deaths,2020-03-19_deaths,2020-03-20_deaths,2020-03-21_deaths,2020-03-22_deaths,2020-03-23_deaths,2020-03-24_deaths,2020-03-25_deaths,2020-03-26_deaths,2020-03-27_deaths,2020-03-28_deaths,2020-03-29_deaths,2020-03-30_deaths,2020-03-31_deaths,2020-04-01_deaths,2020-04-02_deaths,2020-04-03_deaths,2020-04-04_deaths,2020-04-05_deaths,2020-04-06_deaths,2020-04-07_deaths,2020-04-08_deaths,2020-04-09_deaths,2020-04-10_deaths,2020-04-11_deaths,2020-04-12_deaths,2020-04-13_deaths,2020-04-14_deaths,2020-04-15_deaths,2020-04-16_deaths,2020-04-17_deaths,2020-04-18_deaths,2020-04-19_deaths,2020-04-20_deaths,2020-04-21_deaths,2020-04-22_deaths,2020-04-23_deaths,2020-04-24_deaths,2020-04-25_deaths,2020-04-26_deaths,2020-04-27_deaths,2020-04-28_deaths,2020-04-29_deaths,2020-04-30_deaths,2020-05-01_deaths,2020-05-02_deaths,2020-05-03_deaths,2020-05-04_deaths,2020-05-05_deaths,2020-05-06_deaths,2020-05-07_deaths,2020-05-08_deaths,2020-05-09_deaths,2020-05-10_deaths,2020-05-11_deaths,2020-05-12_deaths,2020-05-13_deaths,2020-05-14_deaths,2020-05-15_deaths,2020-05-16_deaths,2020-05-17_deaths,2020-05-18_deaths,2020-03-14_testspm,2020-03-15_testspm,2020-03-16_testspm,2020-03-17_testspm,2020-03-18_testspm,2020-03-19_testspm,2020-03-20_testspm,2020-03-21_testspm,2020-03-22_testspm,2020-03-23_testspm,2020-03-24_testspm,2020-03-25_testspm,2020-03-26_testspm,2020-03-27_testspm,2020-03-28_testspm,2020-03-29_testspm,2020-03-30_testspm,2020-03-31_testspm,2020-04-01_testspm,2020-04-02_testspm,2020-04-03_testspm,2020-04-04_testspm,2020-04-05_testspm,2020-04-06_testspm,2020-04-07_testspm,2020-04-08_testspm,2020-04-09_testspm,2020-04-10_testspm,2020-04-11_testspm,2020-04-12_testspm,2020-04-13_testspm,2020-04-14_testspm,2020-04-15_testspm,2020-04-16_testspm,2020-04-17_testspm,2020-04-18_testspm,2020-04-19_testspm,2020-04-20_testspm,2020-04-21_testspm,2020-04-22_testspm,2020-04-23_testspm,2020-04-24_testspm,2020-04-25_testspm,2020-04-26_testspm,2020-04-27_testspm,2020-04-28_testspm,2020-04-29_testspm,2020-04-30_testspm,2020-05-01_testspm,2020-05-02_testspm,2020-05-03_testspm,2020-05-04_testspm,2020-05-05_testspm,2020-05-06_testspm,2020-05-07_testspm,2020-05-08_testspm,2020-05-09_testspm,2020-05-10_testspm,2020-05-11_testspm,2020-05-12_testspm,2020-05-13_testspm,2020-05-14_testspm,2020-05-15_testspm,2020-05-16_testspm,2020-05-17_testspm,2020-05-18_testspm,2020-03-14_ntod,2020-03-15_ntod,2020-03-16_ntod,2020-03-17_ntod,2020-03-18_ntod,2020-03-19_ntod,2020-03-20_ntod,2020-03-21_ntod,2020-03-22_ntod,2020-03-23_ntod,2020-03-24_ntod,2020-03-25_ntod,2020-03-26_ntod,2020-03-27_ntod,2020-03-28_ntod,2020-03-29_ntod,2020-03-30_ntod,2020-03-31_ntod,2020-04-01_ntod,2020-04-02_ntod,2020-04-03_ntod,2020-04-04_ntod,2020-04-05_ntod,2020-04-06_ntod,2020-04-07_ntod,2020-04-08_ntod,2020-04-09_ntod,2020-04-10_ntod,2020-04-11_ntod,2020-04-12_ntod,2020-04-13_ntod,2020-04-14_ntod,2020-04-15_ntod,2020-04-16_ntod,2020-04-17_ntod,2020-04-18_ntod,2020-04-19_ntod,2020-04-20_ntod,2020-04-21_ntod,2020-04-22_ntod,2020-04-23_ntod,2020-04-24_ntod,2020-04-25_ntod,2020-04-26_ntod,2020-04-27_ntod,2020-04-28_ntod,2020-04-29_ntod,2020-04-30_ntod,2020-05-01_ntod,2020-05-02_ntod,2020-05-03_ntod,2020-05-04_ntod,2020-05-05_ntod,2020-05-06_ntod,2020-05-07_ntod,2020-05-08_ntod,2020-05-09_ntod,2020-05-10_ntod,2020-05-11_ntod,2020-05-12_ntod,2020-05-13_ntod,2020-05-14_ntod,2020-05-15_ntod,2020-05-16_ntod,2020-05-17_ntod,2020-05-18_ntod
MN,Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.19,92.19,92.19,103.88,103.88,103.88,103.88,103.88,103.88,103.88,134.28,138.96,138.96,138.96,138.96,138.96,153.32,153.99,156.33,156.33,190.73,190.73,190.73,228.48,252.53,288.94,366.1,446.6,446.6,569.86,569.86,569.86,569.86,569.86,569.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML,Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.36,219.32,227.64,249.04,277.27,310.85,329.58,335.82,347.41,347.41,372.67,410.71,415.17,474.01,474.01,507.29,507.29,559.9,577.73,577.73,610.42,610.42,679.66,679.66,737.02,737.02,737.02,737.02,805.96,805.96,805.96,860.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,Mizoram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.16,53.16,67.83,76.99,76.99,76.99,79.74,81.58,83.41,86.16,86.16,86.16,93.49,106.32,120.99,123.74,123.74,125.57,125.57,125.57,133.82,133.82,144.82,164.07,164.98,164.98,167.73,167.73,167.73,172.32,178.73,180.57,182.4,184.23,184.23,188.82,205.31,205.31,250.23,250.23,258.48,258.48,258.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.69,25.69,25.69,25.69,29.98,29.98,31.69,31.69,74.51,78.79,78.79,117.34,167.87,173.01,185.85,229.96,232.53,259.94,259.94,262.51,262.51,269.36,273.64,275.78,279.64,284.35,288.63,292.91,303.19,310.04,326.74,336.59,344.73,363.14,369.14,374.7,377.7,380.7,381.56,389.69,392.69,407.68,411.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Odisha,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,20.0,21.0,39.0,40.0,42.0,42.0,48.0,50.0,54.0,54.0,55.0,60.0,60.0,60.0,60.0,61.0,61.0,74.0,79.0,83.0,89.0,94.0,100.0,103.0,118.0,118.0,125.0,143.0,154.0,160.0,162.0,169.0,177.0,205.0,219.0,270.0,352.0,377.0,415.0,437.0,538.0,672.0,737.0,737.0,828.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.26,33.26,33.26,33.26,58.19,58.19,77.45,84.56,84.65,92.07,99.41,112.86,132.0,160.53,180.63,205.47,231.0,253.68,280.07,328.39,381.05,440.03,491.07,543.92,598.44,636.2,693.92,755.61,813.71,872.36,921.58,980.47,1064.74,1131.28,1204.22,1262.87,1342.68,1425.12,1513.28,1622.44,1734.46,1839.21,1952.9,2053.53,2174.7,2283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17,11.69,14.26,12.47,,,,,,20.09,20.96,22.93,22.0,20.48,9.98,7.22,6.25,6.75,7.33,7.34,7.44,6.92,,,
PY,Puducherry,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,12.0,12.0,13.0,16.0,16.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.18,997.63,1019.27,1056.93,1180.33,1240.43,1365.44,1493.65,1584.19,1613.84,1727.63,1785.32,1885.49,2161.94,2395.92,2528.14,2629.11,2852.67,2917.58,3097.87,3294.19,3418.4,3496.93,3594.69,3594.69,3941.65,4096.31,4256.57,4394.4,4502.57,4610.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB,Punjab,1.0,1.0,1.0,1.0,2.0,2.0,3.0,13.0,21.0,23.0,29.0,31.0,33.0,38.0,38.0,38.0,41.0,42.0,46.0,47.0,53.0,65.0,68.0,79.0,99.0,106.0,130.0,151.0,158.0,170.0,176.0,184.0,186.0,197.0,211.0,234.0,244.0,245.0,251.0,278.0,283.0,298.0,308.0,322.0,330.0,342.0,375.0,480.0,585.0,772.0,1102.0,1232.0,1451.0,1526.0,1644.0,1731.0,1762.0,1823.0,1877.0,1914.0,1924.0,1935.0,1932.0,1946.0,1964.0,1980.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,8.0,9.0,10.0,11.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,20.0,20.0,20.0,21.0,23.0,25.0,27.0,28.0,29.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,96.26,104.62,113.43,128.12,140.31,146.83,158.76,170.2,181.05,196.26,202.12,216.55,222.77,241.06,258.5,287.01,347.78,434.93,469.24,508.54,557.87,611.91,695.0,759.6,815.05,866.54,935.57,989.78,1050.77,1137.33,1243.82,1293.37,1342.54,1386.59,1442.08,1508.51,1553.81,1615.85,1658.85,1698.15,1735.61,,,,,,,,,,,,,,,,,,,,,16.7,15.56,12.88,12.28,6.44,7.32,7.32,5.17,7.31,8.59,10.55,12.99,24.89,24.25,24.37,21.71,21.91,42.98,46.3,45.63,52.07,51.44,21.75,19.14,23.43,19.53,18.35,14.72,12.3,7.15,3.66,3.39,3.68,5.73,7.09,9.39,15.96,19.18,21.18,26.42,50.34,66.84,-26.58,-12.13,-4.17,-13.69
RJ,Rajasthan,3.0,4.0,4.0,4.0,7.0,9.0,17.0,24.0,28.0,32.0,32.0,38.0,40.0,50.0,54.0,59.0,79.0,93.0,120.0,133.0,179.0,206.0,266.0,301.0,343.0,383.0,463.0,561.0,700.0,804.0,897.0,1005.0,1076.0,1131.0,1229.0,1351.0,1478.0,1576.0,1735.0,1888.0,1964.0,2034.0,2083.0,2185.0,2262.0,2364.0,2440.0,2584.0,2666.0,2772.0,2886.0,3061.0,3158.0,3317.0,3427.0,3579.0,3708.0,3814.0,3988.0,4126.0,4328.0,4534.0,4747.0,4960.0,5202.0,5507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,9.0,11.0,11.0,11.0,11.0,11.0,17.0,21.0,23.0,25.0,26.0,27.0,28.0,32.0,34.0,41.0,50.0,52.0,55.0,58.0,62.0,68.0,71.0,77.0,89.0,93.0,99.0,103.0,106.0,108.0,113.0,117.0,121.0,125.0,125.0,126.0,131.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.94,178.94,257.03,257.03,278.44,325.69,362.24,415.4,463.47,509.0,551.73,594.25,624.4,687.79,752.16,834.88,896.11,965.55,1016.66,1085.44,1151.15,1208.7,1279.16,1348.07,1425.07,1511.26,1581.77,1660.34,1752.23,1883.65,1967.14,2034.07,2120.49,2218.64,2319.36,2425.26,2566.71,2704.86,2837.08,2976.39,3094.05,3226.99,3380.1,3548.13,,,,,,,,,,,,,,,,7.5,7.17,5.31,5.24,4.78,3.68,4.19,3.89,4.47,4.18,4.97,4.71,4.89,4.4,4.34,4.35,4.84,6.14,8.3,8.97,9.16,9.49,9.62,8.28,8.25,10.3,12.71,16.38,17.83,20.2,19.83,20.25,16.84,18.38,17.93,18.23,16.21,18.23,16.62,17.31,17.06,18.62,19.1,19.38,19.21,18.92,17.98,16.08,16.13,14.97,14.5
SK,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.75,297.85,311.01,355.45,355.45,360.38,360.38,360.38,572.66,722.41,952.79,572.66,1382.29,1558.37,1788.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,Tamil Nadu,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,9.0,12.0,18.0,26.0,29.0,38.0,42.0,50.0,67.0,124.0,234.0,309.0,411.0,485.0,571.0,621.0,690.0,738.0,834.0,911.0,969.0,1075.0,1173.0,1204.0,1242.0,1267.0,1323.0,1372.0,1477.0,1520.0,1596.0,1629.0,1683.0,1755.0,1821.0,1885.0,1937.0,2058.0,2162.0,2323.0,2526.0,2757.0,3023.0,3550.0,4058.0,4829.0,5409.0,6009.0,6535.0,7204.0,8002.0,8718.0,9227.0,9674.0,10108.0,10585.0,11224.0,11760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,14.0,15.0,15.0,15.0,15.0,17.0,18.0,18.0,20.0,22.0,23.0,24.0,24.0,25.0,27.0,27.0,28.0,29.0,30.0,31.0,33.0,35.0,37.0,40.0,44.0,47.0,53.0,61.0,64.0,66.0,71.0,75.0,79.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.76,48.76,48.76,48.76,48.76,70.22,96.19,111.32,130.28,141.04,168.71,254.87,291.13,344.22,392.77,463.76,541.06,621.92,702.14,781.27,873.31,958.37,1060.39,1159.6,1254.58,1348.47,1455.51,1585.06,1712.33,1846.38,1986.91,2157.18,2314.14,2491.68,2679.57,2864.62,3040.06,3216.99,3374.01,3530.04,3699.21,3857.58,4012.08,4151.53,4324.68,4471.88,,,,,,,,,,,,,,,,4.34,4.44,3.39,3.1,2.21,1.9,2.27,2.89,4.32,5.14,6.72,7.01,7.73,8.33,8.35,7.87,12.05,14.95,19.66,21.53,23.75,20.31,20.68,16.57,20.14,20.58,22.01,20.93,22.1,20.42,18.46,17.96,16.14,13.78,10.27,9.49,7.54,6.64,5.79,5.42,5.24,6.03,6.41,6.93,7.33,8.45,9.73,11.47,13.16,13.9,14.43
TG,Telangana,1.0,3.0,4.0,5.0,13.0,16.0,19.0,21.0,27.0,33.0,37.0,41.0,44.0,59.0,67.0,70.0,77.0,97.0,127.0,154.0,229.0,272.0,334.0,364.0,404.0,453.0,471.0,487.0,503.0,531.0,592.0,644.0,650.0,700.0,766.0,809.0,858.0,872.0,928.0,943.0,970.0,983.0,990.0,1001.0,1003.0,1009.0,1016.0,1038.0,1044.0,1061.0,1082.0,1085.0,1096.0,1107.0,1122.0,1132.0,1163.0,1196.0,1275.0,1326.0,1367.0,1414.0,1454.0,1509.0,1551.0,1592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,14.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,21.0,23.0,23.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,32.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.17,417.17,417.17,417.17,417.17,417.17,417.17,417.17,417.17,531.52,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,537.51,652.11,652.11,652.11,,,,,,,,,,,,,,5.69,6.09,8.04,8.15,6.78,6.82,6.45,3.64,2.99,3.06,4.16,4.77,5.63,8.39,11.86,14.54,15.77,15.83,13.92,24.72,22.3,21.28,22.54,23.25,16.87,17.23,24.33,26.71,34.76,45.73,56.05,116.86,135.19,144.83,131.77,143.27,82.4,66.23,96.25,103.52,93.35,95.07,103.62,58.68,49.89,38.18,31.41,20.34,19.31,19.32,20.89,22.41,23.17
