bins,power
20.5,58.63495956467376
20.6,59.27770082476088
20.700000000000003,59.92564963327268
20.8,60.578831269570365
20.900000000000002,61.237271013015324
21.0,61.90099414296874
21.1,62.570025938791986
21.200000000000003,63.24439167984634
21.3,63.924116645492965
21.400000000000002,64.6092261150933
21.5,65.29974536800854
21.6,65.99569968360001
21.700000000000003,66.69711434122898
21.8,67.4040146202567
21.900000000000002,68.11642580004454
22.0,68.83437315995369
22.1,69.55788197934552
22.200000000000003,70.28697753758128
22.3,71.0216851140222
22.400000000000002,71.76202998802965
22.5,72.50803743896483
22.6,73.25973274618913
22.700000000000003,74.01714118906376
22.8,74.78028804694999
22.900000000000002,75.5491985992092
23.0,76.32389812520256
23.1,77.10441190429141
23.200000000000003,77.89076521583706
23.3,78.68298333920072
23.400000000000002,79.48109155374378
