id,value,type
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1980,1,1980
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1985,1,1985
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1990,1,1990
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.1995,1,1995
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2000,1,2000
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2005,1,2005
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2010,1,2010
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2015,1,2015
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2020,1,2020
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2025,1,2025
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2030,1,2030
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2035,1,2035
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
allPopulation.2040,1,2040
