date,open,high,low,close,adj_close,volume,year,weekday,change,nChange
2016-08-31,210.429993,212.600006,208.649994,212.00999500000003,212.00999500000003,3276500,2016,2,0.0031702423236537698,0.43969213759297626
2016-09-01,209.009995,211.100006,200.5,200.770004,200.770004,7943100,2016,3,-0.053016325951991225,0.30894316864928933
2016-09-02,202.330002,203.199997,196.199997,197.779999,197.779999,5977400,2016,4,-0.014892687853908676,0.3976587910245969
2016-09-06,199.020004,203.25,199.0,202.830002,202.830002,4390600,2016,1,0.025533436270267166,0.49173241413136104
2016-09-07,205.5,206.5,200.710007,201.710007,201.710007,3640900,2016,2,-0.005521840896101836,0.41946522297914335
2016-09-08,199.550003,199.889999,196.360001,197.360001,197.360001,3377900,2016,3,-0.02156564299757314,0.38213048894782115
2016-09-09,199.089996,199.919998,193.699997,194.470001,194.470001,3757000,2016,4,-0.014643291372905974,0.39823914917335074
2016-09-12,195.0,201.369995,194.100006,198.300003,198.300003,3715200,2016,0,0.019694564613078846,0.47814506625799374
2016-09-13,197.059998,198.490005,193.449997,196.050003,196.050003,3589400,2016,1,-0.011346444608979657,0.4059110773294533
2016-09-14,195.75,197.919998,194.860001,196.410004,196.410004,2254500,2016,2,0.0018362713312479913,0.4365879200333243
2016-09-15,196.490005,202.520004,196.399994,200.419998,200.419998,3077200,2016,3,0.020416444775389377,0.47982491768547303
2016-09-16,200.419998,205.699997,199.0,205.399994,205.399994,3107800,2016,4,0.024847799868753618,0.49013690375727376
2016-09-19,207.0,209.429993,205.0,206.339996,206.339996,2299500,2016,0,0.0045764460927882064,0.4429644444553043
2016-09-20,206.850006,207.75,203.910004,204.639999,204.639999,2410500,2016,1,-0.008238814737594666,0.4131426882644517
2016-09-21,206.369995,207.0,201.559998,205.220001,205.220001,2633500,2016,2,0.0028342552914105883,0.43891027887847484
2016-09-22,206.399994,207.279999,203.0,206.429993,206.429993,2382900,2016,3,0.005896072478822373,0.44603528139480897
2016-09-23,205.990005,210.179993,205.669998,207.449997,207.449997,2905200,2016,4,0.004941161820414344,0.4438131562881879
2016-09-26,206.5,211.0,206.5,208.990005,208.990005,2394400,2016,0,0.007423514207136867,0.4495897150829267
2016-09-27,209.649994,209.979996,204.610001,205.809998,205.809998,3373200,2016,1,-0.015216072175317615,0.3969062594517601
2016-09-28,207.509995,208.25,205.259995,206.270004,206.270004,2088400,2016,2,0.002235100356980679,0.43751601522581834
2016-09-29,205.600006,207.330002,200.580002,200.699997,200.699997,2727000,2016,3,-0.02700347550291415,0.36947637934152233
2016-09-30,202.210007,204.979996,199.550003,204.029999,204.029999,2586300,2016,4,0.016591938464254226,0.4709250992369365
2016-10-03,212.300003,215.669998,208.25,213.699997,213.699997,5999900,2016,0,0.047394981362520086,0.5426053285671586
2016-10-04,213.100006,213.320007,208.820007,211.410004,211.410004,3541500,2016,1,-0.010715924343227809,0.40737832968486876
2016-10-05,212.240005,213.149994,208.119995,208.460007,208.460007,1877500,2016,2,-0.013953913931149618,0.3998433651361497
2016-10-06,202.460007,204.210007,200.210007,201.0,201.0,4703400,2016,3,-0.03578627434278073,0.34903836491930795
2016-10-07,201.0,201.320007,195.800003,196.610001,196.610001,3493000,2016,4,-0.021840791044776063,0.38149020560995717
2016-10-10,201.350006,204.139999,199.660004,200.949997,200.949997,3316300,2016,0,0.022074136503361215,0.48368244967061735
2016-10-11,201.850006,202.199997,198.309998,200.100006,200.100006,2328400,2016,1,-0.0042298632131852615,0.42247171999655986
2016-10-12,200.949997,203.880005,200.419998,201.509995,201.509995,1970700,2016,2,0.007046421577818423,0.44871220157760344
2016-10-13,200.5,200.899994,197.050003,200.240005,200.240005,2494600,2016,3,-0.0063023672845607835,0.41764889883520045
2016-10-14,200.660004,201.429993,196.300003,196.509995,196.509995,4269900,2016,4,-0.01862769629874906,0.38896723861009347
