district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Bharuch, GJ",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,1.93,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bhavnagar, GJ",114.0,1.74,0.35,0.35,0.35,0.69,1.39,0.69,0.69,0.69,0.69,0.69,2.08,0.35,0.35,3.47,0.69,0.69,0.69,1.04,1.04,0.69,0.69,0.35,1.39,0.69
"Bhilwara, RJ",82.0,,,,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,10.37,0.83
"Bhind, MP",25.0,,,,,,,,,,,,,,,,,1.17,2.35,0.59,0.59,1.17,2.35,0.59,1.17,3.52
"Bhiwani, HR",6.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bhojpur, BR",38.0,,2.57,2.57,2.57,2.57,2.57,2.57,2.21,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,2.57,2.57,2.57,0.37,0.37,2.21,2.57,2.57,0.0
"Bhopal, MP",1046.0,11.82,11.4,5.49,12.67,10.56,10.56,7.6,8.45,8.45,13.09,3.38,14.36,19.85,11.4,10.56,16.47,13.09,12.67,22.8,17.74,10.98,11.82,16.05,16.05,6.76
"Bid, MH",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0
"Bidar, KA",57.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.18,1.18,1.18,7.06,4.12,4.12,0.59,0.59,0.59,0.59
"Bijapur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bijapur(CT), CT",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Bijnor, UP",49.0,0.0,0.0,0.0,0.27,0.27,0.27,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.0,0.0,0.0,0.0,0.0
