district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Bhind, MP",25.0,,,,,,,,,,,,,,,,,,,,,,59.19,20.62,19.95,24.15
"Bhiwani, HR",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhojpur, BR",38.0,,,,,,,45.67,28.52,18.94,12.68,8.08,4.47,2.0,1.96,1.92,1.89,4.0,5.83,7.46,7.35,7.24,6.26,5.68,5.2,4.94
"Bhopal, MP",1046.0,,,,60.3,26.52,19.48,14.88,14.35,11.2,10.33,8.1,8.59,9.6,9.36,8.22,9.47,8.53,6.92,7.53,7.73,6.77,6.31,6.23,5.26,4.26
"Bid, MH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bidar, KA",57.0,,,,,,,,,,,,,,,,,,,,,83.38,64.0,54.61,15.2,7.99
"Bijapur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bijapur(CT), CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bijnor, UP",49.0,,,,,,,,,41.67,21.67,11.67,5.0,0.0,4.0,7.33,10.19,12.69,14.91,12.91,11.4,8.54,6.04,3.82,1.82,0.0
"Bikaner, RJ",65.0,,,,,,,,,,,,,,,,,,,,,,30.0,43.33,58.33,75.48
"Bilaspur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilaspur, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilaspur(CT), CT",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilaspur(HP), HP",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Birbhum, WB",12.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bishnupur, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Biswanath, AS",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bokaro, JH",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bongaigaon, AS",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Botad, GJ",56.0,,,,45.67,37.33,33.74,31.41,34.47,17.08,17.72,20.16,21.28,15.13,13.39,11.91,7.6,3.81,2.9,2.03,1.2,0.0,0.0,0.0,0.0,0.0
"Boudh, OR",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Budaun, UP",17.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Budgam, JK",59.0,,,,,,,,,,,,,,,,,,,14.91,15.58,16.03,16.35,19.74,22.06,17.39
"Bulandshahr, UP",95.0,,,,51.9,33.11,12.25,10.19,8.73,7.86,8.74,9.48,7.12,6.44,7.57,6.94,6.4,7.32,5.87,5.48,5.14,4.63,3.57,3.53,2.55,1.64
"Buldana, MH",30.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Bundi, RJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Burhanpur, MP",194.0,,,,,,,,,,,,,,45.67,26.71,18.29,12.54,8.95,6.26,6.45,8.78,11.13,11.39,11.62,14.14
"Buxar, BR",64.0,,,,,,47.61,42.95,38.38,35.55,10.1,6.1,2.76,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.99,1.46,1.93,4.2,5.74
"Cachar, AS",14.0,,,,,,,,,,,,,,,,,,25.0,0.0,0.0,0.0,0.0,0.0,4.44,4.44
"Chamarajanagara, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chamba, HP",13.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chamoli, UT",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Champawat, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Champhai, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chandauli, UP",12.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chandel, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chandigarh, CH",199.0,,,,,,,53.1,32.6,20.57,13.45,13.96,9.94,10.02,11.38,13.83,10.88,9.92,8.62,6.86,3.2,2.88,2.01,1.47,1.2,1.3
"Chandrapur, MH",5.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Changlang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Charaideo, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Charki Dadri, HR",6.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
"Chatra, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chengalpattu, TN",556.0,,,,,60.0,56.67,71.21,76.48,77.31,40.51,48.67,36.89,35.14,40.29,44.17,24.96,31.37,30.31,25.89,19.33,15.4,6.89,5.85,6.31,6.73
