,total_case_count,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Kinnaur, HP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kullu, HP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lahul & Spiti, HP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mandi, HP",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020009644648720685
"Shimla, HP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sirmaur, HP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Solan, HP",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Una, HP",15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anantnag, JK",108.0,0.13082351533999162,0.14951258895999045,0.24295795705998444,0.24295795705998444,0.5419831349799653,0.7475629447999521,0.8410083128999462,0.859697386519945,1.0278990490999342,0.859697386519945,0.8783864601399437,0.8410083128999462,0.8783864601399437,0.7101847975599545
"Badgam, JK",1.0,0.0,0.0,0.027183035611135803,0.027183035611135803,0.027183035611135803,0.027183035611135803,0.027183035611135803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bandipore, JK",40.0,0.3635428811812027,0.6751510650508051,0.7790204596740059,1.2464327354784095,1.2983674327900099,1.7138450112828127,1.4022368274132107,1.2983674327900099,0.8309551569856064,0.4154775784928032,0.0,0.0,0.0,0.0
"Baramula, JK",18.0,0.019694673477084756,0.05908402043125426,0.11816804086250852,0.15755738781667805,0.21664140824793235,0.33480944911044086,0.29542010215627135,0.23633608172501705,0.19694673477084754,0.13786271433959327,0.0,0.0,0.0,0.0
