id,value,district,per_outbreak_free_districts,per_outbreak_free_population
"district.Ahmadnagar, MH",65,"Ahmadnagar, MH",27,10
"district.Medchal-Malkajgiri, TG",23,"Medchal-Malkajgiri, TG",27,10
"district.Ballari, KA",18,"Ballari, KA",27,10
"district.Ranipet, TN",76,"Ranipet, TN",27,10
"district.Badgam, JK",1,"Badgam, JK",27,10
"district.Alappuzha, KL",6,"Alappuzha, KL",27,10
"district.Karnal, HR",16,"Karnal, HR",27,10
"district.Mathura, UP",57,"Mathura, UP",27,10
"district.Datia, MP",1,"Datia, MP",27,10
"district.Cuttack, OR",4,"Cuttack, OR",27,10
"district.Haridwar, UT",8,"Haridwar, UT",27,10
"district.Uttar-Bastar-Kanker, CT",1,"Uttar-Bastar-Kanker, CT",27,10
"district.Aizawl, MZ",2,"Aizawl, MZ",27,10
"district.Aravalli, GJ",77,"Aravalli, GJ",27,10
"district.Balaghat, MP",1,"Balaghat, MP",27,10
"district.Lawngtlai, MZ",1,"Lawngtlai, MZ",27,10
"district.Nagaon, AS",1,"Nagaon, AS",27,10
"district.Sawai-Madhopur, RJ",17,"Sawai-Madhopur, RJ",27,10
"district.Prakasam, AP",64,"Prakasam, AP",27,10
"district.Bikaner, RJ",41,"Bikaner, RJ",27,10
"district.Anuppur, MP",4,"Anuppur, MP",27,10
"district.East-Kameng, AR",1,"East-Kameng, AR",27,10
"district.Muzaffarpur, BR",16,"Muzaffarpur, BR",27,10
"district.Baleshwar, OR",91,"Baleshwar, OR",27,10
"district.Agra, UP",792,"Agra, UP",27,10
"district.Jhargram, WB",4,"Jhargram, WB",27,10
"district.Nalanda, BR",64,"Nalanda, BR",27,10
"district.South-West-Garo-Hills, ML",1,"South-West-Garo-Hills, ML",27,10
"district.Bundi, RJ",1,"Bundi, RJ",27,10
"district.Kaithal, HR",4,"Kaithal, HR",27,10
"district.Bankura, WB",1,"Bankura, WB",27,10
"district.Warangal-Rural, TG",1,"Warangal-Rural, TG",27,10
"district.Sundargarh, OR",24,"Sundargarh, OR",27,10
"district.Shivpuri, MP",4,"Shivpuri, MP",27,10
"district.Imphal-East, MN",2,"Imphal-East, MN",27,10
"district.Kheda, GJ",34,"Kheda, GJ",27,10
"district.Haveri, KA",4,"Haveri, KA",27,10
"district.Ukhrul, MN",1,"Ukhrul, MN",27,10
"district.Lohit, AR",2,"Lohit, AR",27,10
"district.Dharmapuri, TN",7,"Dharmapuri, TN",27,10
"district.Chamoli, UT",1,"Chamoli, UT",27,10
"district.Kota, RJ",270,"Kota, RJ",27,10
"district.Narsimhapur, MP",1,"Narsimhapur, MP",27,10
"district.Bagalkote, KA",69,"Bagalkote, KA",27,10
"district.Nuapada, OR",1,"Nuapada, OR",27,10
"district.West-Godavari, AP",69,"West-Godavari, AP",27,10
"district.Rewari, HR",6,"Rewari, HR",27,10
"district.Bulandshahr, UP",76,"Bulandshahr, UP",27,10
"district.Bid, MH",2,"Bid, MH",27,10
"district.Idukki, KL",24,"Idukki, KL",27,10
"district.Tawang, AR",1,"Tawang, AR",27,10
"district.Alirajpur, MP",4,"Alirajpur, MP",27,10
"district.Simdega, JH",3,"Simdega, JH",27,10
"district.Kishtwar, JK",2,"Kishtwar, JK",27,10
"district.Unokoti, TR",1,"Unokoti, TR",27,10
"district.South-Tripura, TR",1,"South-Tripura, TR",27,10
"district.Mirzapur, UP",8,"Mirzapur, UP",27,10
"district.Ahmadabad, GJ",6646,"Ahmadabad, GJ",27,10
"district.Noney, MN",1,"Noney, MN",27,10
"district.Godda, JH",2,"Godda, JH",27,10
"district.Ambedkar-Nagar, UP",3,"Ambedkar-Nagar, UP",27,10
"district.Boudh, OR",5,"Boudh, OR",27,10
"district.Bhadradri-Kothagudem, TG",5,"Bhadradri-Kothagudem, TG",27,10
"district.Jaisalmer, RJ",42,"Jaisalmer, RJ",27,10
"district.Krishnagiri, TN",21,"Krishnagiri, TN",27,10
"district.Daman, DN",1,"Daman, DN",27,10
"district.Rayagada, OR",1,"Rayagada, OR",27,10
"district.Rajouri, JK",5,"Rajouri, JK",27,10
"district.Kannur, KL",118,"Kannur, KL",27,10
