,total_case_count,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Karimnagar, TG",19.0,,,,,,,,,,,,,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,66.67,66.67,67.51,67.51,67.51,67.51,67.51,0.84,0.84,0.0,0.0,0.0,0.0,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Khammam, TG",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.14,11.9,15.48,21.19,21.19,21.19,21.19,14.05,9.29,5.71,2.04,2.04,2.04,2.04,2.04,2.04,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Komaram Bheem Asifabad, TG",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71,35.71,35.71,35.71
"Mahabubabad, TG",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mahbubnagar, TG",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.27,18.27,7.55,1.43,1.43,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mancherial, TG",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Medak, TG",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Medchal Malkajgiri, TG",20.0,,,,,,,,,,,,,,,,,,,0.0,28.57,28.57,38.1,46.67,46.67,50.24,50.24,21.67,21.67,12.14,3.57,3.57,0.0,0.0,0.0,0.0,0.0,1.43,2.73,2.73,3.92,7.21,7.21,7.21,5.79,4.49,5.38,6.71,3.41,3.41,3.41,3.41
"Mulugu, TG",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nagarkurnool, TG",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nalgonda, TG",16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.19,3.39,3.39,3.39,3.39,3.39,3.39,2.2,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.95,0.95
"Narayanpet, TG",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nirmal, TG",19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,44.64,44.64,1.79,1.79,1.79,1.79,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.0,0.0,0.0,0.0
"Nizamabad, TG",62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.71,14.58,9.82,4.72,0.58,1.42,2.48,2.48,1.9,2.14,2.87,2.87,2.03,0.97,0.97,0.97,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Peddapalli, TG",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rajanna Sircilla, TG",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,28.57,28.57,28.57,28.57,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rangareddy, TG",35.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,1.22,1.79,1.79,1.79,1.79,1.17,0.57,0.57,1.1,1.1,1.1,1.61,1.61,2.1,2.58,1.48,1.48,1.48,0.97,0.97,0.94,0.91,1.77,1.77,1.77
"Sangareddy, TG",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Siddipet, TG",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Suryapet, TG",82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.23,11.23,17.18,15.57,15.57,14.14,18.56,22.64,22.64,14.31,9.8,18.05,18.65,12.94,9.05,9.05,9.05,9.05,0.8,0.76,1.5,1.3,1.3,1.3,1.3
"Vikarabad, TG",37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.76,7.14,15.48,22.99,22.99,24.97,24.97,24.97,19.55,11.22,3.7,3.7,1.73,1.73,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Wanaparthy, TG",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warangal Rural, TG",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warangal Urban, TG",27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.39,1.33,1.33,1.33,0.65,0.65,0.65,0.65,0.0,0.0,0.62,0.62,0.62,1.22,1.79,1.79,1.79,1.17,1.17,1.72,1.12,0.55,0.55,0.55
"Yadadri Bhongir, TG",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhalai, TR",27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gomati District, TR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Khowai District, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Tripura, TR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sepahijala District, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Tripura, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unakoti District, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Tripura, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agra, UP",628.0,5.67,1.59,1.59,1.59,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,2.73,8.68,11.2,28.34,29.32,28.5,32.29,31.45,29.74,28.08,11.1,12.05,16.39,13.02,14.09,10.68,10.25,12.37,13.58,8.69,12.2,11.51,11.21,11.2,9.95,6.85,7.25,3.96,4.15,4.88,5.34,5.43,6.99,7.3
"Aligarh, UP",43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.37,29.66,23.81,23.81,21.43,19.39,9.19
"Ambedkar Nagar, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C S M Nagar (Amethi), UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J P Nagar (Amroha), UP",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.08,41.38,5.67,5.67,5.67,15.67,12.43,16.4,14.81,14.81,16.05,16.05,6.05,5.21,1.24,1.81,1.81,2.77,2.77,3.72
"Auraiya, UP",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43,21.43,30.95,16.67,16.67,12.38,12.38,12.38,14.76,9.32,9.32,10.91,8.05,8.05,8.05,5.67,1.59,1.59,0.0,0.0,0.0,2.86,2.86
"Azamgarh, UP",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.76,4.76,11.9,7.14,7.14,7.14,7.14,7.14,9.52,2.38,2.38,2.38,2.38,4.42,4.42,2.04,2.04,2.04,2.04,2.04,0.0,0.0,0.0,0.0
"Baghpat, UP",17.0,,,,,,,,,,,,,,,,,,,0.0,0.0,14.29,14.29,14.29,14.29,21.43,30.95,30.95,16.67,22.38,22.38,36.67,29.52,21.02,21.02,21.02,15.31,15.31,1.02,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.85,1.85,1.85
"Bahraich, UP",15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.79,9.72,7.94,8.96
"Ballia, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balrampur (Chhattisgarh), UP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
