district,state,cases,deaths,current_avg_growth_rate,day0,day1,day2,day3,day4,population,state_code,cases_per_million
Chittoor,Andhra Pradesh,142.0,0.0,12.31,8.12,10.52,11.01,11.62,12.31,4170468.0,AP,34.048936474275784
Chota Udaipur,Gujarat,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071831.0,GJ,15.860709384221954
Churachandpur,Manipur,0.0,0.0,,,,,,,271274.0,MN,0.0
Churu,Rajasthan,27.0,1.0,,,,,,,2041172.0,RJ,13.227694677371625
Coimbatore,Tamil Nadu,146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3472578.0,TN,42.04369203513932
Cooch Behar,West Bengal,0.0,0.0,,,,,,,2822780.0,WB,0.0
Cuddalore,Tamil Nadu,412.0,1.0,1.25,23.94,13.85,4.5,2.4,1.25,2600880.0,TN,158.4079234720556
Cuttack,Odisha,3.0,0.0,,,,,,,2618708.0,OR,1.145603098932756
Dadra and Nagar Haveli,Dadra and Nagar Haveli,1.0,0.0,,,,,,,343709.0,DN,2.9094379256871368
Dakshin Bastar Dantewada,Chhattisgarh,0.0,0.0,,,,,,,533638.0,CT,0.0
Dakshin Dinajpur,West Bengal,0.0,0.0,,,,,,,1670931.0,WB,0.0
Dakshina Kannada,Karnataka,28.0,4.0,2.0,8.57,8.57,0.0,0.0,2.0,2083625.0,KA,13.438118663387124
Daman,Dadra and Nagar Haveli,0.0,0.0,,,,,,,191173.0,DN,0.0
Damoh,Madhya Pradesh,0.0,0.0,,,,,,,1263703.0,MP,0.0
Dang,Gujarat,2.0,0.0,,,,,,,226769.0,GJ,8.819547645401268
Darbhanga,Bihar,16.0,0.0,,,,,,,3921971.0,BR,4.07958141454896
Darjeeling,West Bengal,7.0,1.0,0.0,,20.0,0.0,0.0,0.0,1842034.0,WB,3.800147011401527
Darrang,Assam,0.0,0.0,,,,,,,908090.0,AS,0.0
Datia,Madhya Pradesh,0.0,0.0,,,,,,,786375.0,MP,0.0
Dausa,Rajasthan,28.0,0.0,,,,,,,1637226.0,RJ,17.102098305304214
Davanagere,Karnataka,85.0,4.0,11.38,53.1,19.3,19.68,24.01,11.38,1946905.0,KA,43.65903831979474
Debagarh,Odisha,1.0,0.0,,,,,,,312164.0,OR,3.2034443433579787
Dehradun,Uttarakhand,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1698560.0,UT,21.194423511680483
Delhi,Delhi,7998.0,106.0,,,,,,,16787941.0,DL,476.4133969734585
Deoghar,Jharkhand,4.0,0.0,,,,,,,1491879.0,JH,2.6811825892046204
Deoria,Uttar Pradesh,3.0,0.0,,,,,,,3098637.0,UP,0.9681676169231828
Devbhumi Dwarka,Gujarat,12.0,0.0,,,,,,,752484.0,GJ,15.947182930135392
Dewas,Madhya Pradesh,56.0,7.0,28.54,12.72,22.72,27.48,28.83,28.54,1563107.0,MP,35.826082283554484
Dhalai,Tripura,150.0,0.0,18.98,59.3,41.95,26.92,23.24,18.98,377988.0,TR,396.8379948569796
Dhamtari,Chhattisgarh,0.0,0.0,,,,,,,799199.0,CT,0.0
Dhanbad,Jharkhand,4.0,0.0,,,,,,,2682662.0,JH,1.4910562717181666
Dhar,Madhya Pradesh,89.0,2.0,5.84,5.9,3.29,4.33,5.29,5.84,2184672.0,MP,40.73838086449591
Dharmapuri,Tamil Nadu,6.0,0.0,0.0,,,30.0,10.0,0.0,1502900.0,TN,3.992281588928072
Dharwad,Karnataka,21.0,0.0,0.0,,,20.0,0.0,0.0,1846993.0,KA,11.369831937641347
Dhaulpur,Rajasthan,24.0,0.0,0.0,14.23,9.79,6.15,0.0,0.0,1207293.0,RJ,19.879184257673987
Dhemaji,Assam,0.0,0.0,,,,,,,688077.0,AS,0.0
Dhenkanal,Odisha,1.0,0.0,,,,,,,1192948.0,OR,0.8382595050245275
Dhubri,Assam,5.0,0.0,,,,,,,1948632.0,AS,2.5659026434955394
Dhule,Maharashtra,71.0,6.0,10.72,6.09,4.61,6.49,8.1,10.72,2048781.0,MH,34.65475324107361
Dibrugarh,Assam,0.0,0.0,,,,,,,1327748.0,AS,0.0
Dima Hasao,Assam,0.0,0.0,,,,,,,213529.0,AS,0.0
Dimapur,Nagaland,0.0,0.0,,,,,,,379769.0,NL,0.0
Dindigul,Tamil Nadu,111.0,1.0,6.67,39.79,18.86,7.15,7.54,6.67,2161367.0,TN,51.3563869532569
Dindori,Madhya Pradesh,2.0,0.0,,,,,,,704218.0,MP,2.840029649909545
Diu,Dadra and Nagar Haveli,0.0,0.0,,,,,,,52074.0,DN,0.0
Doda,Jammu and Kashmir,0.0,0.0,,,,,,,409576.0,JK,0.0
Dohad,Gujarat,20.0,0.0,1.25,14.08,11.86,9.86,2.58,1.25,2126558.0,GJ,9.404869277019484
Dumka,Jharkhand,2.0,0.0,,,,,,,1321096.0,JH,1.513894523940728
Dungarpur,Rajasthan,13.0,0.0,15.67,30.0,10.0,6.67,11.67,15.67,1388906.0,RJ,9.359884686220663
Durg,Chhattisgarh,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3343079.0,CT,2.991254469308084
