symbol,name,id,av,lastClose,mcap
ASRV,AmeriServ Financial Inc.,172.0,0.23666082755793982,4.05,71307693.9
ASRVP,AmeriServ Financial Inc.,173.0,0.29340946437644627,28.9575,608107.5
ATLO,Ames National Corporation,174.0,0.26025122812399515,26.68,246598490.96
AMGN,Amgen Inc.,175.0,0.24576634497286856,194.88,121269543265.92
FOLD,"Amicus Therapeutics, Inc.",176.0,0.6950966411762303,14.3,3203400915.0
AMKR,"Amkor Technology, Inc.",177.0,0.43000904232007475,8.96,2146569904.64
AMPH,"Amphastar Pharmaceuticals, Inc.",178.0,0.43724689062910616,21.35,998941114.85
IBUY,Amplify Online Retail ETF,179.0,0.19921980982615037,49.52,279788000.0
ASYS,"Amtech Systems, Inc.",180.0,0.6110268325325143,6.49,92336994.2
AMRS,"Amyris, Inc.",181.0,0.8576404246309705,2.99,219933902.11
ADI,"Analog Devices, Inc.",182.0,0.24550913695367038,111.74,41155441446.36
ANAB,"AnaptysBio, Inc.",183.0,0.8892523357097672,80.12,2162165110.08
AVXL,Anavex Life Sciences Corp.,184.0,1.055751288409688,2.81,133419339.52
ANDA,Andina Acquisition Corp. III,186.0,0.12081567403715852,9.75,135476250.0
ANDAU,Andina Acquisition Corp. III,188.0,0.327677103771862,10.21,0.0
ANGI,ANGI Homeservices Inc.,190.0,0.6177797555517882,15.53,7827723200.73
ANGO,"AngioDynamics, Inc.",191.0,0.3019176857964116,22.79,848150224.26
ANIP,"ANI Pharmaceuticals, Inc.",192.0,0.5494769113571247,69.84,829555120.08
ANIK,Anika Therapeutics Inc.,193.0,0.45390379833535976,31.29,444683216.88
ANIX,"Anixa Biosciences, Inc.",194.0,1.2296134058536707,4.42,86756330.18
ANSS,"ANSYS, Inc.",195.0,0.22054391193144054,186.41,15615906457.48
ATRS,"Antares Pharma, Inc.",196.0,0.5344616325008332,2.99,479991609.89
APLS,"Apellis Pharmaceuticals, Inc.",197.0,0.7799029300707916,19.77,1112839599.39
APOG,"Apogee Enterprises, Inc.",198.0,0.33252643061054854,39.15,1063932570.0
APEN,"Apollo Endosurgery, Inc.",199.0,0.9299771100720802,3.44,75381555.92
AINV,Apollo Investment Corporation,200.0,0.9084967839335787,15.31,1059265279.24
TSLA,"Tesla, Inc. ",3012.0,0.4953199569078663,273.2,47187510248.4
