date,close,volume,open,high,low,year,weekday,change
2015-04-29,232.45,3931287.0000,230.05,234.97,227.63,2015,2,0.008547379382158968
2015-04-30,226.05,3892230.0000,230.39,232.89,225.17,2015,3,-0.02753280275328018
2015-05-01,226.03,5276924.0000,229.94,231.77,220.405,2015,4,-8.847600088480526e-05
2015-05-04,230.51,4427259.0000,228.18,234.73,227.11,2015,0,0.01982037782595226
2015-05-05,232.95,5782731.0000,237.76,239.5,229.13,2015,1,0.010585224068370126
2015-05-06,230.43,5083776.0000,234.1,234.47,228.2,2015,2,-0.010817772054088782
2015-05-07,236.8,9439902.0000,221.0,237.48,220.25,2015,3,0.027643969969188057
2015-05-08,236.61,4665445.0000,235.99,238.4099,233.7,2015,4,-0.0008023648648648553
2015-05-11,239.49,5663800.0000,236.29,242.88,235.31,2015,0,0.012171928489920101
2015-05-12,244.74,6345797.0000,240.11,246.35,238.19,2015,1,0.02192158336464988
2015-05-13,243.18,5432689.0000,247.61,248.3,242.25,2015,2,-0.006374111301789664
2015-05-14,244.1,2847083.0000,244.82,244.89,241.25,2015,3,0.0037832058557446644
2015-05-15,248.84,4519337.0000,243.93,249.4,242.5,2015,4,0.019418271200327773
2015-05-18,248.75,3349931.0000,247.0,249.9,246.0,2015,0,-0.00036167818678670393
2015-05-19,247.14,3668199.0000,248.43,251.0,246.15,2015,1,-0.006472361809045281
2015-05-20,244.35,3749479.0000,247.13,247.74,241.3721,2015,2,-0.011289147851420217
2015-05-21,245.62,1966567.0000,243.03,246.62,242.3574,2015,3,0.005197462656026234
2015-05-22,247.73,2219309.0000,245.38,248.6,245.01,2015,4,0.008590505659148217
2015-05-26,247.455,3490996.0000,247.68,252.0,246.5,2015,1,-0.001110079522060216
2015-05-27,247.43,3403988.0000,248.51,249.5,245.55,2015,2,-0.00010102846982281903
2015-05-28,251.45,3646063.0000,247.03,251.8,245.05,2015,3,0.016247019359010555
2015-05-29,250.8,3785112.0000,251.0,252.8677,249.43,2015,4,-0.002585006959634032
2015-06-01,249.45,2502238.0000,251.41,251.6,247.47,2015,0,-0.005382775119617315
2015-06-02,248.35,2129438.0000,248.92,249.4,246.3,2015,1,-0.0044097013429544776
2015-06-03,248.99,1778102.0000,248.2,250.72,247.01,2015,2,0.002577008254479625
2015-06-04,245.92,2425588.0000,247.5,249.3,245.71,2015,3,-0.012329812442266844
2015-06-05,249.14,3019837.0000,246.0,249.7,245.68,2015,4,0.013093689004554323
2015-06-08,256.29,5006944.0000,250.85,258.75,250.31,2015,0,0.02869872360921584
2015-06-09,256.0,2596059.0000,255.4,257.74,254.14,2015,1,-0.0011315306878927013
2015-06-10,250.7,3452631.0000,251.9,254.0,248.5,2015,2,-0.020703125000000044
2015-06-11,251.41,2040973.0000,253.26,254.37,250.43,2015,3,0.002832070203430427
2015-06-12,250.69,1418457.0000,250.21,253.46,250.21,2015,4,-0.0028638478978560873
2015-06-15,250.38,2182932.0000,249.7,251.28,246.01,2015,0,-0.0012365870198252913
2015-06-16,253.12,1980918.0000,250.13,253.44,249.095,2015,1,0.010943366083553036
2015-06-17,260.41,5500560.0000,252.17,264.36,252.02,2015,2,0.028800568900126503
2015-06-18,261.89,2781441.0000,262.0,263.46,260.02,2015,3,0.005683345493644488
2015-06-19,262.51,2458900.0000,262.4,263.8,260.1,2015,4,0.002367406162892835
2015-06-22,259.79,4559072.0000,262.15,264.4,255.69,2015,0,-0.010361510037712737
2015-06-23,267.67,3864602.0000,260.32,268.0,258.57,2015,1,0.030332191385349684
2015-06-24,265.17,2411492.0000,266.98,267.35,263.72,2015,2,-0.009339858781335225
2015-06-25,268.79,2844993.0000,266.45,271.41,265.25,2015,3,0.013651619715654125
2015-06-26,267.09,3829660.0000,268.89,269.11,266.0,2015,4,-0.00632464005357359
2015-06-29,262.02,3471452.0000,261.95,265.95,260.7,2015,0,-0.01898236549477702
2015-06-30,268.26,3084435.0000,264.8,270.92,264.0,2015,1,0.023814975956033928
2015-07-01,269.15,2100019.0000,271.11,272.62,267.8503,2015,2,0.003317676880638136
2015-07-02,280.02,7155585.0000,280.195,282.45,273.31,2015,3,0.040386401634776165
2015-07-06,279.72,4109259.0000,278.88,281.69,276.3,2015,0,-0.001071352046282246
2015-07-07,267.88,6096385.0000,275.0,275.2,260.77,2015,1,-0.04232804232804244
2015-07-08,254.96,6212610.0000,259.32,260.8,254.31,2015,2,-0.04823055099298189
2015-07-09,257.92,3329764.0000,259.08,262.95,256.79,2015,3,0.011609664261060589
2015-07-10,259.15,2605215.0000,262.22,263.0,257.82,2015,4,0.004768920595533349
2015-07-13,262.16,2951397.0000,262.25,262.55,256.05,2015,0,0.0116148948485435
2015-07-14,265.65,1905569.0000,262.1,265.9899,260.51,2015,1,0.01331248092767757
2015-07-15,263.14,2006860.0000,266.74,267.49,262.08,2015,2,-0.009448522492000719
2015-07-16,266.68,1598253.0000,264.22,267.2,263.16,2015,3,0.013452914798206357
2015-07-17,274.66,4996689.0000,272.5,275.54,268.25,2015,4,0.029923503824808826
2015-07-20,282.26,4969754.0000,275.0,286.65,272.54,2015,0,0.02767057452850785
2015-07-21,266.77,6091632.0000,270.05,273.5,266.55,2015,1,-0.05487848083327432
2015-07-22,267.87,3097326.0000,261.27,269.44,260.86,2015,2,0.004123402181654695
2015-07-23,267.2,2222481.0000,269.65,269.9,265.27,2015,3,-0.002501213275096188
2015-07-24,265.41,2834521.0000,267.38,271.09,263.92,2015,4,-0.0066991017964070495
2015-07-27,253.01,4688874.0000,262.43,264.4321,250.79,2015,0,-0.04672016879544868
2015-07-28,264.82,3879330.0000,255.75,265.4,251.8373,2015,1,0.04667799691711791
2015-07-29,263.82,2782886.0000,264.27,267.89,262.0,2015,2,-0.003776149837625557
2015-07-30,266.79,2030605.0000,262.69,266.94,262.11,2015,3,0.011257675687969173
2015-07-31,266.15,2218004.0000,267.6,269.3599,265.123,2015,4,-0.0023988905131378355
2015-08-03,259.99,2547164.0000,266.29,266.7099,257.07,2015,0,-0.023144843133571177
2015-08-04,266.28,2336152.0000,260.01,266.72,258.34,2015,1,0.024193238201469146
2015-08-05,270.13,5969245.0000,263.58,271.0,260.4,2015,2,0.014458464773922274
2015-08-06,246.13,14617820.0000,249.54,255.0,236.12,2015,3,-0.08884611113167734
2015-08-07,242.51,5069602.0000,243.58,243.73,238.39,2015,4,-0.01470767480599685
2015-08-10,241.14,4179307.0000,238.15,242.97,236.05,2015,0,-0.005649251577254565
2015-08-11,237.37,4260892.0000,237.15,239.3,234.44,2015,1,-0.015634071493738
2015-08-12,238.17,3730138.0000,235.0,239.77,232.74,2015,2,0.003370265829717247
2015-08-13,242.51,4683330.0000,239.86,246.48,239.12,2015,3,0.01822227820464376
2015-08-14,243.15,4360693.0000,247.24,247.93,241.77,2015,4,0.00263906643025036
2015-08-17,254.99,7168396.0000,255.56,256.59,250.51,2015,0,0.048694221673863884
2015-08-18,260.72,4186051.0000,255.38,260.95,253.5601,2015,1,0.022471469469391027
2015-08-19,255.25,3598937.0000,260.33,260.65,255.02,2015,2,-0.02098036207425601
2015-08-20,242.18,4892170.0000,252.06,254.56,241.9,2015,3,-0.05120470127326148
2015-08-21,230.77,6578435.0000,236.0,243.7999,230.51,2015,4,-0.04711371706994796
2015-08-24,218.87,9562484.0000,202.79,231.4,195.0,2015,0,-0.05156649477835076
2015-08-25,220.03,4313679.0000,230.52,230.9,219.12,2015,1,0.0052999497418558805
2015-08-26,224.84,4951300.0000,227.93,228.0,215.51,2015,2,0.021860655365177485
2015-08-27,242.99,7645773.0000,231.0,244.75,230.81,2015,3,0.08072407045009787
2015-08-28,248.48,5507336.0000,241.86,251.45,241.57,2015,4,0.022593522367175524
2015-08-31,249.06,4688373.0000,245.62,254.95,245.51,2015,0,0.00233419188667101
2015-09-01,238.63,5443901.0000,240.34,246.0,236.97,2015,1,-0.041877459246767876
2015-09-02,247.69,4590857.0000,245.3,247.88,239.78,2015,2,0.03796672673176048
2015-09-03,245.57,4184808.0000,252.06,252.08,245.0,2015,3,-0.008559085954216982
2015-09-04,241.93,3687456.0000,240.89,244.09,238.2,2015,4,-0.014822657490735783
2015-09-08,248.17,3129871.0000,245.05,249.16,244.05,2015,1,0.025792584631918244
2015-09-09,248.91,3384981.0000,252.05,254.25,248.303,2015,2,0.0029818269734456586
2015-09-10,248.48,2706874.0000,247.23,250.7231,245.33,2015,3,-0.0017275320396930892
2015-09-11,250.24,2346802.0000,247.64,250.24,244.73,2015,4,0.007083065035415404
2015-09-14,253.19,2885610.0000,251.1,254.25,249.67,2015,0,0.011788682864450083
2015-09-15,253.57,2931607.0000,252.75,254.6,249.5,2015,1,0.001500849164658934
2015-09-16,262.25,4405706.0000,253.04,262.88,252.88,2015,2,0.03423117876720435
2015-09-17,262.07,3575221.0000,263.96,265.5,260.69,2015,3,-0.000686367969494783
2015-09-18,260.62,3760644.0000,257.96,263.82,257.5,2015,4,-0.005532872896554313
2015-09-21,264.2,6114615.0000,263.98,271.57,255.8,2015,0,0.013736474560662973
2015-09-22,260.94,3660643.0000,259.03,262.65,255.87,2015,1,-0.012339137017411019
2015-09-23,261.06,2597170.0000,261.95,262.08,257.5838,2015,2,0.0004598758335249657
2015-09-24,263.12,3442668.0000,259.53,263.45,256.21,2015,3,0.007890906305063979
2015-09-25,256.91,3771395.0000,266.61,266.91,256.15,2015,4,-0.023601398601398524
2015-09-28,248.43,4893113.0000,257.35,259.79,246.61,2015,0,-0.03300766805496095
2015-09-29,246.65,3695972.0000,250.46,254.73,245.46,2015,1,-0.0071649961759851916
2015-09-30,248.4,4925751.0000,252.0,252.4,242.34,2015,2,0.007095073991485911
2015-10-01,239.88,4568261.0000,247.51,248.5,237.13,2015,3,-0.0342995169082126
2015-10-02,247.57,4407615.0000,235.6,247.7,234.93,2015,4,0.03205769551442387
